1Hqk7W4mPLA86kNoaL3j2STEPf8KnLmGvh -> totalcnt: 19, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
13Kzfp5U5isk6ruYJnT4WwZbvftJypni3d -> totalcnt: 40, realcnt: 6, vericnt: 6, maxBias: 1, maxCnt: 0, rfound: False
1NyUHBDYhS5u4KR8CDVbYGA4924xDbLywc -> totalcnt: 52, realcnt: 19, vericnt: 18, maxBias: 1, maxCnt: 0, rfound: False
1JM3s6ETXNgFQ2rQDQXpCsp88CJhTp4x78 -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
132HTmabmeB1SKcsJ4Y7M4RTz8Vu9ADUzH -> totalcnt: 6, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
1NtXZCvMr7GoJCQunUSMeDMkuxfhTwt5pz -> totalcnt: 41, realcnt: 7, vericnt: 7, maxBias: 1, maxCnt: 0, rfound: False
19GJHDBP6KKoWjUuUpkznHVoWrHV2ryhkR -> totalcnt: 4, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
1FFZ1MpmPrnAaKL6yyoxxMR2jE3VuPDxmP -> totalcnt: 17, realcnt: 3, vericnt: 3, maxBias: 1, maxCnt: 0, rfound: False
19pwAgwQo4VD9f4HctqUxDvoXV7pDqDLez -> totalcnt: 26, realcnt: 10, vericnt: 10, maxBias: 1, maxCnt: 0, rfound: False
1DB5yjpN5uw1n71WthyjdiL7smTWrAh2Fp -> totalcnt: 54, realcnt: 11, vericnt: 11, maxBias: 1, maxCnt: 0, rfound: False
1CTUU9ezF4FJ3iBWzzuhndFUKokJ39wupA -> totalcnt: 141, realcnt: 38, vericnt: 38, maxBias: 1, maxCnt: 0, rfound: False
1A6R1sEkzpkNPx5hdJHjmN3947qYXFxuHz -> totalcnt: 7, realcnt: 1, vericnt: 1, maxBias: 1, maxCnt: 0, rfound: False
123DL94r8WutV42Ftoy2zU9o4zZor9h5aJ -> totalcnt: 47, realcnt: 9, vericnt: 9, maxBias: 1, maxCnt: 0, rfound: False
15JVDn2Uz6gf2C1vbeYWwgVP476VdVmoRU -> totalcnt: 29, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
1EEJj1KFz6fh1iVqFUbJjsgXAcfw7Bmiyp -> totalcnt: 128, realcnt: 18, vericnt: 16, maxBias: 9, maxCnt: 1, rfound: False
17xPGgt5BApaDMgUqSnTRka6C95iTbzviH -> totalcnt: 33, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
1CrxWBTnSB9fL7nFqKjoaqYaZYqVYL8YfV -> totalcnt: 50, realcnt: 8, vericnt: 8, maxBias: 1, maxCnt: 0, rfound: False
1Dqr1ciTvXXsffUPZg7tN5U3ZADBXXZ49u -> totalcnt: 126, realcnt: 2, vericnt: 2, maxBias: 1, maxCnt: 0, rfound: False
13DDhvqFHHG9H9BtthLxfRfLAeEQ8dVkuY -> totalcnt: 43, realcnt: 12, vericnt: 12, maxBias: 1, maxCnt: 0, rfound: False
12uo4WaDcdyYK97DBggFxktoo4dDrCbCf8 -> totalcnt: 1, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
1CPnWMao3RsdRBxEXekP5847t8t9X2vjto -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
1Do7cfSeDYeNhjCmS5148NKLYyfBy53a4J -> totalcnt: 233, realcnt: 64, vericnt: 64, maxBias: 9, maxCnt: 1, rfound: False
1FoLjGcHFekHWcXxcja6C7SKNGNVc3rYZH -> totalcnt: 563, realcnt: 121, vericnt: 121, maxBias: 9, maxCnt: 1, rfound: False
184yLtHBmidEoH4ZbGpUpt9HwtT8KaoxFS -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
1LLxnkSBdBnL4N5WBw3eJKyYXC7zkeFhBu -> totalcnt: 64, realcnt: 17, vericnt: 16, maxBias: 1, maxCnt: 0, rfound: False
1APawBaRqZrqBEP7tQ5et9mZzy4g4QfeT1 -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
1QDGE39KXLh5o7V4odqxkC8npwPW6cAFQP -> totalcnt: 30, realcnt: 10, vericnt: 10, maxBias: 1, maxCnt: 0, rfound: False
